date,trend,resale,changeResale,value
2007-01,736570,,,50
2007-04,664408,,,46
2007-07,844129,,,47
2007-10,764435,,,38
2008-01,839884,,,24
2008-04,856747,,,35
2008-07,992793,,,39
2008-10,582929,,,28
2009-01,1200000,,,11
2009-04,660000,,,23
2009-07,660000,,,53
2009-10,665000,,,45
2010-01,916425,,,37
2010-04,509000,,,45
2010-07,1050000,,,37
2010-10,654500,,,34
2011-01,744500,,,41
2011-04,806575,,,52
2011-07,775000,620000,,48
2011-10,660750,,,26
2012-01,920000,,,32
2012-04,752500,640000,,39
2012-07,788500,651250,0.05,50
2012-10,967337,,0.05,46
2013-01,907500,764000,0.232,37
2013-04,990000,814500,0.273,41
2013-07,1545098,841000,0.291,87
2013-10,1150000,,0.291,30
2014-01,1500000,817700,0.07,28
2014-04,1135000,797000,-0.021,40
2014-07,1150000,955000,0.136,40
2014-10,1420000,,0.136,29
2015-01,2000000,888500,0.087,23
2015-04,1592500,,0.115,32
2015-07,1850000,,-0.07,27
2015-10,1451006,1200000,0.257,33
2016-01,2036500,885000,-0.004,29
2016-04,1424277,1115000,0.255,32
2016-07,1445000,1250000,0.407,42
2016-10,1917500,,0.042,34
2017-01,1360950,,0.412,28
2017-04,1659198,,0.121,28
2017-07,1850000,1352000,0.082,44
2017-10,1490000,,0.082,23
2018-01,2240150,1314000,0.051,35
2018-04,1200950,1387546,0.11,24
2018-07,1400000,1117000,-0.174,41
2018-10,1600000,,-0.174,25
2019-01,2406250,,-0.15,30
2019-04,1634891,1425000,0.027,38
2019-07,1428125,1329000,0.19,38
2019-10,1500000,,0.19,29
2020-01,1490000,1325000,0.186,34
2020-04,2186500,,-0.07,16
2020-07,1466875,,-0.003,18
2020-10,1645000,1248000,-0.061,34
2021-01,1500000,1462500,0.104,47
2021-04,1429000,1175000,-0.113,56
2021-07,1950000,1545000,0.166,73
2021-10,1690500,1275000,0.022,42
2022-01,2028250,1185000,-0.19,47
2022-04,1925000,890075,-0.242,46
